task_id,task_label,level,target_mode,feature_mode,model_id,model_label,forecast_origin_date,target_date,origin_sequence,season_phase,n_units,current_window_yield_g,forecasted_next_window_yield_g,observed_next_window_yield_g,aggregate_error_g,aggregate_absolute_error_g,forecast_change_vs_current_pct,observed_change_vs_current_pct,operational_flag
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,aggregate,delta,current_state,persistence,Persistence / no-change baseline,2025-01-07,2025-01-15,1,early season,0,1210.0,1210.0,417.0,793.0,793.0,0.0,-65.53719008264463,Stable window
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,aggregate,delta,current_state,persistence,Persistence / no-change baseline,2025-01-15,2025-01-24,2,early season,0,417.0,417.0,101.0,316.0,316.0,0.0,-75.77937649880096,Stable window
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,aggregate,delta,current_state,persistence,Persistence / no-change baseline,2025-01-24,2025-01-29,3,mid season,0,101.0,101.0,66.0,35.0,35.0,0.0,-34.65346534653465,Stable window
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,aggregate,delta,current_state,persistence,Persistence / no-change baseline,2025-01-29,2025-02-05,4,mid season,0,66.0,66.0,487.0,-421.0,421.0,0.0,637.8787878787879,Stable window
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,aggregate,delta,current_state,persistence,Persistence / no-change baseline,2025-02-05,2025-02-12,5,mid season,0,487.0,487.0,940.0,-453.0,453.0,0.0,93.01848049281314,Stable window
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,aggregate,delta,current_state,persistence,Persistence / no-change baseline,2025-02-12,2025-02-20,6,late season,0,940.0,940.0,2256.0,-1316.0,1316.0,0.0,140.0,Stable window
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,aggregate,delta,current_state,persistence,Persistence / no-change baseline,2025-02-20,2025-02-26,7,late season,0,2256.0,2256.0,1099.0,1157.0,1157.0,0.0,-51.28546099290781,Stable window
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,aggregate,delta,current_state,persistence,Persistence / no-change baseline,2025-02-26,2025-03-05,8,late season,0,1099.0,1099.0,2126.0,-1027.0,1027.0,0.0,93.44858962693358,Stable window
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,aggregate,delta,current_state,rolling_mean,Rolling mean baseline,2025-01-07,2025-01-15,1,early season,0,1210.0,14226.0,417.0,13809.0,13809.0,1075.702479338843,-65.53719008264463,Production flush risk
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,aggregate,delta,current_state,rolling_mean,Rolling mean baseline,2025-01-15,2025-01-24,2,early season,0,417.0,12869.0,101.0,12768.0,12768.0,2986.091127098321,-75.77937649880096,Production flush risk
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,aggregate,delta,current_state,rolling_mean,Rolling mean baseline,2025-01-24,2025-01-29,3,mid season,0,101.0,11512.0,66.0,11446.0,11446.0,11298.019801980197,-34.65346534653465,Production flush risk
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,aggregate,delta,current_state,rolling_mean,Rolling mean baseline,2025-01-29,2025-02-05,4,mid season,0,66.0,7776.0,487.0,7289.0,7289.0,11681.818181818182,637.8787878787879,Production flush risk
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,aggregate,delta,current_state,rolling_mean,Rolling mean baseline,2025-02-05,2025-02-12,5,mid season,0,487.0,4040.0,940.0,3100.0,3100.0,729.5687885010267,93.01848049281314,Production flush risk
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,aggregate,delta,current_state,rolling_mean,Rolling mean baseline,2025-02-12,2025-02-20,6,late season,0,940.0,3437.5,2256.0,1181.5,1181.5,265.6914893617021,140.0,Production flush risk
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,aggregate,delta,current_state,rolling_mean,Rolling mean baseline,2025-02-20,2025-02-26,7,late season,0,2256.0,2835.0,1099.0,1736.0,1736.0,25.664893617021278,-51.28546099290781,Production flush risk
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,aggregate,delta,current_state,rolling_mean,Rolling mean baseline,2025-02-26,2025-03-05,8,late season,0,1099.0,2545.5,2126.0,419.5,419.5,131.6196542311192,93.44858962693358,Production flush risk
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,aggregate,next,current_state,persistence,Persistence / no-change baseline,2025-01-07,2025-01-15,1,early season,0,1210.0,1210.0,417.0,793.0,793.0,0.0,-65.53719008264463,Stable window
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,aggregate,next,current_state,persistence,Persistence / no-change baseline,2025-01-15,2025-01-24,2,early season,0,417.0,417.0,101.0,316.0,316.0,0.0,-75.77937649880096,Stable window
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,aggregate,next,current_state,persistence,Persistence / no-change baseline,2025-01-24,2025-01-29,3,mid season,0,101.0,101.0,66.0,35.0,35.0,0.0,-34.65346534653465,Stable window
