task_id,task_label,model_id,model_label,forecast_origin_date,origin_sequence,season_phase,n_training_rows,n_current_season_training_rows,n_predictions,n_model_features
plot_next_leading,Plot-level next yield · leading indicators,gradient_boosting,Gradient Boosting,2025-02-12,6,late season,478,198,40,95
plot_next_leading,Plot-level next yield · leading indicators,hist_gradient_boosting,HistGradientBoosting,2025-02-12,6,late season,478,198,40,95
plot_next_leading,Plot-level next yield · leading indicators,persistence,Persistence / no-change baseline,2025-02-20,7,late season,518,238,40,95
plot_next_leading,Plot-level next yield · leading indicators,rolling_mean,Rolling mean baseline,2025-02-20,7,late season,518,238,40,95
plot_next_leading,Plot-level next yield · leading indicators,ridge,Ridge regression,2025-02-20,7,late season,518,238,40,95
plot_next_leading,Plot-level next yield · leading indicators,elasticnet,ElasticNet regression,2025-02-20,7,late season,518,238,40,95
plot_next_leading,Plot-level next yield · leading indicators,random_forest,Random Forest,2025-02-20,7,late season,518,238,40,95
plot_next_leading,Plot-level next yield · leading indicators,extra_trees,Extra Trees,2025-02-20,7,late season,518,238,40,95
plot_next_leading,Plot-level next yield · leading indicators,gradient_boosting,Gradient Boosting,2025-02-20,7,late season,518,238,40,95
plot_next_leading,Plot-level next yield · leading indicators,hist_gradient_boosting,HistGradientBoosting,2025-02-20,7,late season,518,238,40,95
plot_next_leading,Plot-level next yield · leading indicators,persistence,Persistence / no-change baseline,2025-02-26,8,late season,558,278,40,95
plot_next_leading,Plot-level next yield · leading indicators,rolling_mean,Rolling mean baseline,2025-02-26,8,late season,558,278,40,95
plot_next_leading,Plot-level next yield · leading indicators,ridge,Ridge regression,2025-02-26,8,late season,558,278,40,95
plot_next_leading,Plot-level next yield · leading indicators,elasticnet,ElasticNet regression,2025-02-26,8,late season,558,278,40,95
plot_next_leading,Plot-level next yield · leading indicators,random_forest,Random Forest,2025-02-26,8,late season,558,278,40,95
plot_next_leading,Plot-level next yield · leading indicators,extra_trees,Extra Trees,2025-02-26,8,late season,558,278,40,95
plot_next_leading,Plot-level next yield · leading indicators,gradient_boosting,Gradient Boosting,2025-02-26,8,late season,558,278,40,95
plot_next_leading,Plot-level next yield · leading indicators,hist_gradient_boosting,HistGradientBoosting,2025-02-26,8,late season,558,278,40,95
plot_next_current_state,Plot-level next yield · current-state upper bound,persistence,Persistence / no-change baseline,2025-01-07,1,early season,280,0,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,rolling_mean,Rolling mean baseline,2025-01-07,1,early season,280,0,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,ridge,Ridge regression,2025-01-07,1,early season,280,0,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,elasticnet,ElasticNet regression,2025-01-07,1,early season,280,0,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,random_forest,Random Forest,2025-01-07,1,early season,280,0,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,extra_trees,Extra Trees,2025-01-07,1,early season,280,0,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,gradient_boosting,Gradient Boosting,2025-01-07,1,early season,280,0,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,hist_gradient_boosting,HistGradientBoosting,2025-01-07,1,early season,280,0,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,persistence,Persistence / no-change baseline,2025-01-15,2,early season,320,40,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,rolling_mean,Rolling mean baseline,2025-01-15,2,early season,320,40,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,ridge,Ridge regression,2025-01-15,2,early season,320,40,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,elasticnet,ElasticNet regression,2025-01-15,2,early season,320,40,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,random_forest,Random Forest,2025-01-15,2,early season,320,40,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,extra_trees,Extra Trees,2025-01-15,2,early season,320,40,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,gradient_boosting,Gradient Boosting,2025-01-15,2,early season,320,40,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,hist_gradient_boosting,HistGradientBoosting,2025-01-15,2,early season,320,40,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,persistence,Persistence / no-change baseline,2025-01-24,3,mid season,360,80,39,101
plot_next_current_state,Plot-level next yield · current-state upper bound,rolling_mean,Rolling mean baseline,2025-01-24,3,mid season,360,80,39,101
plot_next_current_state,Plot-level next yield · current-state upper bound,ridge,Ridge regression,2025-01-24,3,mid season,360,80,39,101
plot_next_current_state,Plot-level next yield · current-state upper bound,elasticnet,ElasticNet regression,2025-01-24,3,mid season,360,80,39,101
plot_next_current_state,Plot-level next yield · current-state upper bound,random_forest,Random Forest,2025-01-24,3,mid season,360,80,39,101
plot_next_current_state,Plot-level next yield · current-state upper bound,extra_trees,Extra Trees,2025-01-24,3,mid season,360,80,39,101
plot_next_current_state,Plot-level next yield · current-state upper bound,gradient_boosting,Gradient Boosting,2025-01-24,3,mid season,360,80,39,101
plot_next_current_state,Plot-level next yield · current-state upper bound,hist_gradient_boosting,HistGradientBoosting,2025-01-24,3,mid season,360,80,39,101
plot_next_current_state,Plot-level next yield · current-state upper bound,persistence,Persistence / no-change baseline,2025-01-29,4,mid season,399,119,39,101
plot_next_current_state,Plot-level next yield · current-state upper bound,rolling_mean,Rolling mean baseline,2025-01-29,4,mid season,399,119,39,101
plot_next_current_state,Plot-level next yield · current-state upper bound,ridge,Ridge regression,2025-01-29,4,mid season,399,119,39,101
plot_next_current_state,Plot-level next yield · current-state upper bound,elasticnet,ElasticNet regression,2025-01-29,4,mid season,399,119,39,101
plot_next_current_state,Plot-level next yield · current-state upper bound,random_forest,Random Forest,2025-01-29,4,mid season,399,119,39,101
plot_next_current_state,Plot-level next yield · current-state upper bound,extra_trees,Extra Trees,2025-01-29,4,mid season,399,119,39,101
plot_next_current_state,Plot-level next yield · current-state upper bound,gradient_boosting,Gradient Boosting,2025-01-29,4,mid season,399,119,39,101
plot_next_current_state,Plot-level next yield · current-state upper bound,hist_gradient_boosting,HistGradientBoosting,2025-01-29,4,mid season,399,119,39,101
plot_next_current_state,Plot-level next yield · current-state upper bound,persistence,Persistence / no-change baseline,2025-02-05,5,mid season,438,158,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,rolling_mean,Rolling mean baseline,2025-02-05,5,mid season,438,158,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,ridge,Ridge regression,2025-02-05,5,mid season,438,158,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,elasticnet,ElasticNet regression,2025-02-05,5,mid season,438,158,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,random_forest,Random Forest,2025-02-05,5,mid season,438,158,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,extra_trees,Extra Trees,2025-02-05,5,mid season,438,158,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,gradient_boosting,Gradient Boosting,2025-02-05,5,mid season,438,158,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,hist_gradient_boosting,HistGradientBoosting,2025-02-05,5,mid season,438,158,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,persistence,Persistence / no-change baseline,2025-02-12,6,late season,478,198,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,rolling_mean,Rolling mean baseline,2025-02-12,6,late season,478,198,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,ridge,Ridge regression,2025-02-12,6,late season,478,198,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,elasticnet,ElasticNet regression,2025-02-12,6,late season,478,198,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,random_forest,Random Forest,2025-02-12,6,late season,478,198,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,extra_trees,Extra Trees,2025-02-12,6,late season,478,198,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,gradient_boosting,Gradient Boosting,2025-02-12,6,late season,478,198,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,hist_gradient_boosting,HistGradientBoosting,2025-02-12,6,late season,478,198,40,101
